ObjectName,ObjectID,ObjectCategory,GtCategory,Planarity,Scatter,Linearity,MinHeight,MaxHeight,centroid_x,centroid_y,centroid_z,Volume,BiggestArea,Orientation,HueMean,SatMean,ValMean,HueStdv,SatStdv,ValStdv,HueHist0,HueHist1,HueHist2,HueHist3,HueHist4,ValHist0,ValHist1,ValHist2,ValHist3,ValHist4,SatHist0,SatHist1,SatHist2,SatHist3,SatHist4
faucet_1,14,faucet,0,0.182406,0.589262,0.29269,0.484069,0.588873,1.339,0.524492,-0.115179,0.00181612,0.016827,82.0084,165.744,0.100296,0.41324,129.847,0.0842302,0.124152,0.435091,0.0517241,0.0283976,0.235294,0.249493,0.0375254,0.452333,0.440162,0.0649087,0.00507099,0.909736,0.0709939,0.0172414,0.0020284,0
bottle_1,15,bottle,12,0.0888214,0.820453,0.686268,1.37551,1.58231,1.61757,1.45196,-0.173334,0.0019387,0.0249324,88.4441,52.977,0.179548,0.768478,20.28,0.0871979,0.113566,0.957214,0.0384743,0.000331675,0.0013267,0.0026534,0,0.0026534,0.0998342,0.433167,0.464345,0.654726,0.323715,0.0185738,0.00298507,0
bottle_2,16,bottle,12,0.119089,0.823365,0.675503,1.38167,1.61272,1.52045,1.47236,-0.184444,0.0018889,0.0230535,88.1809,107.913,0.0871649,0.785323,111.358,0.090612,0.145881,0.662306,0.0820407,0.034573,0.0689591,0.152121,0.00541955,0.011026,0.0880209,0.376939,0.518595,0.926743,0.0629789,0.00654083,0.000934405,0.00280321
bottle_3,17,bottle,12,0.114374,0.840469,0.703517,1.37913,1.56284,1.4611,1.44154,-0.238966,0.00098921,0.0167374,83.6441,92.761,0.0779199,0.803853,84.9817,0.0870463,0.143832,0.70994,0.0818338,0.0548415,0.0968295,0.0565553,0.00428449,0.0154242,0.0788346,0.289203,0.612254,0.928877,0.062982,0.00556984,0.000428449,0.00214225
wall_0,18,wall,13,0.369441,0.630091,0.260416,0.355731,1.79889,1.12855,0.968731,-0.139573,0.216632,1.72656,88.9921,139.869,0.0778083,0.736314,129.849,0.155229,0.167734,0.536065,0.0314407,0.0501911,0.17067,0.211633,0.0135244,0.0260405,0.14351,0.422908,0.394017,0.929406,0.0197323,0.021432,0.012685,0.0167444
wall_1,19,wall,13,0.42764,0.571993,0.14417,0.0350541,2.18464,1.91651,1.01664,0.407574,0.675707,4.37868,89.9845,122.367,0.107044,0.723864,120.87,0.178806,0.135487,0.588251,0.0505499,0.0856151,0.101816,0.173768,0.0014144,0.0308483,0.116803,0.537391,0.313544,0.848204,0.0378295,0.0835863,0.0223738,0.00800615
wall_2,20,wall,13,0.347497,0.650906,0.30261,-0.0600109,2.1191,1.38849,1.02378,1.68403,1.04227,5.23568,89.1437,132.236,0.238693,0.565668,130.479,0.279345,0.210921,0.596156,0.0198337,0.0563469,0.0922359,0.235428,0.0668765,0.177191,0.244093,0.398993,0.112846,0.662726,0.0903055,0.104981,0.0623249,0.0796629
floor_0,21,floor,14,0.0160228,0.983387,0.967068,-0.101993,0.0344834,0.28573,-0.0257088,0.249615,0.912154,6.66305,2.37545,36.0626,0.727588,0.0753047,41.999,0.308374,0.068625,0.973993,0.00348376,0.00299765,0.00672446,0.0128008,0.947744,0.0522563,0,0,0,0.113992,0.032488,0.078425,0.239893,0.535202
night_table_0,23,night_table,15,0.283163,0.445614,0.0268399,0.0632411,0.559972,0.659756,0.445834,1.89633,0.309797,0.547301,31.9905,125.457,0.124489,0.54905,124.26,0.109212,0.173917,0.563037,0.0998706,0.0916559,0.0309041,0.214533,0.023429,0.212156,0.322592,0.378193,0.0636308,0.837634,0.134895,0.0218442,0.00332814,0.002298
lamp_0,24,lamp,16,0.120218,0.482811,0.164108,0.572546,0.927456,0.649737,0.810567,1.85884,0.0384101,0.134884,66.3731,42.6185,0.306456,0.644415,35.2693,0.129392,0.141801,0.972473,0.0107998,0.00235485,0.00422249,0.0101502,0.00958181,0.0303695,0.308161,0.52773,0.124158,0.210313,0.559074,0.225416,0.00373528,0.00146163
night_table_1,25,night_table,15,0.19294,0.803165,0.608278,0.40006,0.505966,-0.574388,0.485531,0.604052,0.0228169,0.222187,2.14009,151.504,0.0942005,0.555518,62.4911,0.141132,0.17921,0.139177,0.274121,0.449365,0.131387,0.00594983,0.0993682,0.0538551,0.228486,0.618107,0.000184015,0.91523,0.04079,0.0214684,0.011593,0.0109182
lamp_1,26,lamp,16,0.00490925,0.882676,0.821559,0.508503,0.95715,-0.545279,0.729558,0.610494,0.0188073,0.0935808,89.3501,68.6873,0.331738,0.309662,60.1044,0.231032,0.224529,0.891628,0.0385673,0.00932945,0.0316535,0.0288213,0.400666,0.219575,0.236901,0.142857,0,0.3606,0.378509,0.133611,0.0648063,0.062474
bed_0,27,bed,17,0.25343,0.727986,0.465265,0.0485389,0.547128,-0.838645,0.45514,2.02978,1.09687,2.21401,2.93552,144.756,0.149238,0.543866,114.662,0.137531,0.170413,0.499369,0.0222486,0.0449426,0.32238,0.11106,0.0512089,0.130313,0.415117,0.387698,0.0156636,0.793348,0.144671,0.0467374,0.0097728,0.00547154
pillow_0,28,pillow,18,0.15491,0.806781,0.632716,0.410417,0.631845,-1.17649,0.530124,1.16837,0.0850989,0.333363,5.55788,86.2281,0.223541,0.493216,69.3797,0.124513,0.147485,0.644795,0.106837,0.213388,0.0166446,0.018335,0.0464487,0.211178,0.496112,0.246105,0.000156043,0.522145,0.398793,0.0670204,0.00801019,0.0040311
cushion_0,29,cushion,19,0.329995,0.546024,0.154039,0.423544,0.697566,-1.16334,0.555652,1.3623,0.0501678,0.256125,22.7052,135.127,0.310883,0.442253,64.3478,0.157877,0.180273,0.25277,0.220425,0.466453,0.0481399,0.0122118,0.0798246,0.354189,0.390825,0.140931,0.0342308,0.218728,0.565703,0.170541,0.0319676,0.0130605
teddy_bear_0,30,teddy_bear,20,0.0389719,0.749319,0.604493,0.490234,0.685475,-1.05596,0.58587,1.49539,0.00410837,0.0358756,50.7284,106.033,0.227282,0.581054,101.279,0.201698,0.193559,0.633573,0.0869219,0.0813397,0.104864,0.0933014,0.0283094,0.140351,0.383174,0.332935,0.115231,0.58453,0.226475,0.127592,0.0430622,0.0183413
curtain_0,31,curtain,21,0.0762869,0.900724,0.812943,0.229642,2.21898,-1.85661,1.13711,1.62095,0.378659,1.20777,84.7623,85.3798,0.215876,0.372365,84.5308,0.164311,0.172136,0.800578,0.045694,0.0176632,0.0752944,0.0607704,0.160397,0.44734,0.290244,0.0865579,0.0154604,0.571232,0.315856,0.0791477,0.0218331,0.0119304
window_0,32,window,5,0.232372,0.529884,0.17864,0.754814,1.82331,-1.58864,1.26584,2.29553,1.27669,1.5721,85.3347,163.298,0.211197,0.486757,115.419,0.19142,0.307917,0.390365,0.0247491,0.109186,0.336264,0.139436,0.195922,0.313294,0.178504,0.0793667,0.232913,0.588085,0.264871,0.0972817,0.034948,0.0148144
curtain_1,33,curtain,21,0.0596039,0.927693,0.861738,0.18822,2.40399,-1.14515,1.1689,2.88727,0.399824,1.14552,83.8641,72.5174,0.199797,0.381654,69.2878,0.160141,0.195034,0.849948,0.0498478,0.0152119,0.0487348,0.0362579,0.17043,0.454953,0.221346,0.116639,0.0366322,0.605295,0.298727,0.0696511,0.0159106,0.0104157
closet_0,34,closet,22,0.440312,0.557974,0.116804,5.31673e-05,2.08665,1.1819,0.982942,1.33588,0.493178,3.37659,89.9343,45.7497,0.407209,0.379302,33.9643,0.205651,0.152193,0.966772,0.0145924,0.00330492,0.00753844,0.00779222,0.115793,0.485638,0.336294,0.0458478,0.0164265,0.14458,0.389525,0.296508,0.123049,0.0463381
wall_0,35,wall,13,0.0978742,0.901671,0.80357,0.47173,1.49765,0.837831,0.978171,0.696919,0.0103983,0.304155,89.1112,81.9576,0.0562218,0.821469,24.5743,0.0439936,0.113817,0.500657,0.465311,0.0329105,0.000812128,0.000309382,0.00286178,0.00251373,0.019259,0.327945,0.647421,0.996597,0.0012762,0.000889473,0.000618764,0.000618764
wall_1,36,wall,13,0.222063,0.776915,0.554341,0.0212077,2.46606,0.199786,1.0827,2.58461,1.35667,7.19102,87.3021,108.953,0.0697319,0.711533,100.648,0.0659114,0.153798,0.592008,0.121269,0.0940541,0.0908021,0.101867,0.00230235,0.0373233,0.193157,0.45129,0.315927,0.964555,0.0311627,0.00296836,0.000922088,0.000391571
wall_2,37,wall,13,0.325178,0.669545,0.341729,0.201911,2.32645,-1.43419,1.2061,2.41388,1.41254,6.30738,87.4,117.86,0.206054,0.4314,102.927,0.176244,0.231425,0.615889,0.0539691,0.0606328,0.186832,0.082677,0.173462,0.345507,0.232815,0.176774,0.0714419,0.609601,0.266905,0.0843378,0.0261,0.0130565
wall_3,38,wall,13,0.225283,0.773772,0.548017,0.130179,2.18104,-1.23262,1.02961,0.799422,0.807123,4.79594,88.2909,88.431,0.114935,0.664864,73.0005,0.217217,0.239151,0.635432,0.127283,0.149286,0.0653994,0.0226001,0.0962106,0.0455584,0.148519,0.35849,0.351222,0.880231,0.021384,0.0218239,0.0422275,0.0343338
door_0,39,door,23,0.425731,0.571806,0.144844,0.722561,1.25318,0.483989,0.972112,0.270524,0.027269,0.280073,89.5223,68.2135,0.478074,0.191004,97.8799,0.279185,0.126113,0.840192,0.010809,0.0200184,0.0390674,0.0899132,0.544617,0.412971,0.0316514,0.00954874,0.00121177,0.203141,0.221027,0.242014,0.187049,0.146769
floor_0,40,floor,14,0.048766,0.950352,0.901145,-0.160615,0.0247442,0.0394372,-0.0925306,-0.391109,4.50471,21.2973,1.64449,127.606,0.299269,0.232221,137.235,0.252342,0.119119,0.631693,0.00345514,0.00416064,0.111686,0.249005,0.374602,0.573643,0.0176375,0.0340991,1.80897e-05,0.556567,0.167077,0.112609,0.103835,0.0599132
wall_cabinet_0,42,wall_cabinet,24,0.441967,0.557731,0.115612,0.212115,1.74176,-0.451287,0.996794,1.32061,0.148908,1.91066,87.4208,80.5634,0.475743,0.267532,123.554,0.26707,0.156309,0.796048,0.000397087,0.00117538,0.0376994,0.16468,0.377074,0.457365,0.139671,0.0122223,0.0136677,0.222154,0.199211,0.209733,0.243748,0.125154
refrigerator_0,43,refrigerator,25,0.266114,0.725085,0.454571,0.0414075,1.30154,0.478047,0.865755,1.87491,0.591736,1.02331,88.5702,161.082,0.139156,0.623116,141.457,0.162621,0.212271,0.489869,0.00759715,0.0215668,0.171192,0.309774,0.0361378,0.109675,0.318743,0.303879,0.231566,0.808627,0.114632,0.0476508,0.0177242,0.0113664
microwave_0,44,microwave,26,0.198909,0.766842,0.550809,1.38001,1.70999,0.473764,1.47564,1.91519,0.0713384,0.209388,85.2461,222.193,0.33126,0.199696,120.749,0.296035,0.207386,0.232257,0.00947181,0.0259159,0.37486,0.357495,0.628955,0.176149,0.137539,0.0495297,0.0078274,0.463922,0.224429,0.121226,0.0867592,0.103664
upper_cabinet_0,45,upper_cabinet,27,0.0593953,0.869897,0.775148,1.72006,1.93986,0.48648,1.78252,1.95045,0.0576691,0.242266,20.8893,58.7992,0.273229,0.398743,87.9676,0.124773,0.134041,0.884285,0,0.00118378,0.0509026,0.0636283,0.0855283,0.469962,0.374667,0.0677715,0.00207162,0.276117,0.587156,0.125777,0.00887837,0.00207162
upper_cabinet_1,46,upper_cabinet,27,0.0639604,0.550092,0.293158,1.21,1.98613,1.07314,1.4056,1.90228,0.344414,0.583358,62.232,68.0947,0.325624,0.406494,108.21,0.201963,0.209885,0.847885,0.000315199,0.000614638,0.0294081,0.121777,0.197803,0.297437,0.350028,0.105324,0.0494074,0.279566,0.440191,0.181854,0.0675944,0.0307949
smoke_extractor_0,47,smoke_extractor,28,0.296301,0.527737,0.143455,1.45259,2.0252,1.53275,1.53954,1.53405,0.469768,0.733974,13.0395,180.069,0.344588,0.256464,145.622,0.256056,0.273158,0.43256,0.00561264,0.0109749,0.161723,0.389129,0.602337,0.227521,0.0588284,0.0152,0.0961139,0.376141,0.250806,0.197173,0.119691,0.056189
upper_cabinet_2,48,upper_cabinet,27,0.288496,0.578512,0.22352,1.16677,2.16347,2.1659,1.4965,1.11943,0.806922,1.62211,76.1241,69.6056,0.317499,0.443708,106.779,0.202325,0.204648,0.852794,0.00161253,0.00324168,0.0200652,0.122286,0.146316,0.215946,0.465904,0.131014,0.0408202,0.310528,0.438125,0.153057,0.063886,0.0344034
cooking_utensils_0,49,cooking_utensils,29,0.269985,0.716522,0.43979,0.912512,1.3175,1.68579,1.12092,1.79168,0.0346235,0.266891,85.7412,197.839,0.126402,0.423107,145.127,0.108414,0.159115,0.385552,0.00921129,0.0101245,0.135839,0.459273,0.0621644,0.413154,0.427798,0.0654553,0.0314286,0.897148,0.076068,0.0153522,0.00592042,0.00551103
bottle_0,50,bottle,12,0.0332772,0.959555,0.922693,0.832017,0.972849,1.05116,0.909837,2.14463,7.21506e-05,0.0049734,89.555,132.325,0.292488,0.469237,139.766,0.312317,0.296655,0.596639,0.012605,0,0.155462,0.235294,0.239496,0.142857,0.252101,0.189076,0.176471,0.563025,0.201681,0.0672269,0.0420168,0.12605
dishes_0,51,dishes,30,0.313777,0.470099,0.0482591,0.840014,1.07916,1.04078,0.954551,1.85255,0.0131368,0.0728234,81.5079,210.812,0.0822126,0.569733,130.128,0.0565652,0.21657,0.292808,0.00812607,0.0255455,0.27916,0.394361,0.0108198,0.212894,0.427494,0.167146,0.181647,0.968798,0.0297656,0.000942803,0.000269372,0.000224477
stove_0,52,stove,31,0.102366,0.895098,0.791465,0.774348,0.821967,1.33172,0.802964,1.45159,0.0136529,0.347409,1.46527,235.515,0.100634,0.509382,111.918,0.076495,0.229632,0.188371,0.0202907,0.0245306,0.346154,0.420654,0.0784373,0.333737,0.19685,0.262871,0.128104,0.941551,0.0490612,0.00605694,0.00181708,0.00151423
pot_0,53,pot,32,0.34443,0.511616,0.0952082,0.822513,1.00725,1.2754,0.907696,1.54807,0.00715549,0.046484,82.61,239.416,0.132977,0.510961,134.053,0.130329,0.188773,0.249974,0.00401479,0.00591653,0.155098,0.584997,0.0573693,0.236661,0.335658,0.350343,0.0199683,0.869836,0.0948759,0.0172213,0.00591653,0.01215
cloth_0,54,cloth,33,0.385282,0.599636,0.206813,0.759404,0.835308,1.88278,0.794739,1.13898,0.00926596,0.121873,2.83248,167.93,0.0539799,0.829252,127.139,0.0583371,0.172754,0.425728,0.0363067,0.0696646,0.196646,0.271655,0.00165868,0.0254331,0.0849613,0.26115,0.626797,0.973093,0.0228529,0.00387025,0,0.000184298
bottle_1,55,bottle,12,0.339847,0.468563,0.0329203,0.763698,0.907931,2.42682,0.818743,1.06376,0.00399895,0.0300765,71.0965,239.591,0.127531,0.655725,73.7441,0.160434,0.238116,0.0782907,0.0177792,0.0761073,0.650031,0.177792,0.044292,0.126014,0.214598,0.302558,0.312539,0.851216,0.0870243,0.0262009,0.0227698,0.0127885
bowl_0,56,bowl,34,0.112435,0.739479,0.553002,0.80008,0.896114,1.96546,0.842981,0.7745,0.00497387,0.0394772,54.3295,21.4398,0.477535,0.724214,25.9101,0.105619,0.0855723,0.992935,0.000706547,0,0.000235516,0.00612341,0,0.0044748,0.0504004,0.788036,0.157089,0.0277909,0.0923222,0.837965,0.0186057,0.0233161
window_0,57,window,5,0.419314,0.57195,0.148268,0.872958,2.02888,2.18396,1.43997,0.114698,0.389576,1.53956,89.512,111.836,0.279731,0.43571,139.83,0.215423,0.217567,0.682511,0.00660369,0.00322506,0.0633796,0.244281,0.121105,0.393778,0.271445,0.126243,0.0874302,0.443406,0.275526,0.199111,0.061895,0.0200624
picture_0,58,picture,35,0.378738,0.613172,0.230389,1.50243,1.86629,1.60525,1.67713,-0.39824,0.0202012,0.194164,86.8808,51.3052,0.249529,0.830354,46.7563,0.17064,0.158652,0.934081,0.02051,0.0167591,0.0126491,0.016001,0.000119708,0.0119708,0.0984398,0.234428,0.655042,0.390008,0.41379,0.185587,0.00933722,0.00127688
paper_roll_0,59,paper_roll,7,0.128177,0.718458,0.513598,1.17438,1.32803,1.17984,1.23929,-0.344353,0.00557956,0.0474408,84.5808,154.586,0.0351043,0.851514,119.491,0.0368919,0.155464,0.418406,0.0202743,0.0753329,0.362552,0.123435,0,0.00417412,0.0773206,0.264361,0.654144,0.998211,0.00178891,0,0,0
sink_0,60,sink,3,0.372378,0.615831,0.237557,0.70238,0.814599,1.44885,0.764305,-0.236584,0.0475883,0.426559,3.72183,149.567,0.100733,0.496602,119.646,0.0693229,0.197425,0.491762,0.0142233,0.0309816,0.326433,0.1366,0.0240811,0.382622,0.306577,0.201662,0.0850584,0.923391,0.0746374,0.000985777,0.00028165,0.000704126
faucet_0,61,faucet,0,0.165117,0.674046,0.42851,0.80798,0.885051,1.48819,0.836333,-0.397448,0.00197763,0.0249464,7.80573,158.384,0.119197,0.563612,115.055,0.0908995,0.206487,0.424419,0.00581395,0.0581395,0.383721,0.127907,0,0.238372,0.389535,0.209302,0.162791,0.843023,0.151163,0,0.00581395,0
bottle_3,62,bottle,12,0.244131,0.548841,0.201195,0.823792,1.01586,1.43621,0.866979,-0.542338,0.00441122,0.0294453,70.3455,158.189,0.153167,0.68084,54.9599,0.103615,0.182428,0.0834202,0.280501,0.529718,0.101147,0.00521376,0,0.0740355,0.282586,0.375391,0.267987,0.765381,0.200209,0.0291971,0.00521376,0
cabinet_0,63,cabinet,36,0.130931,0.867478,0.735751,-0.0181974,0.776343,1.2445,0.561658,1.39446,0.518245,1.17488,88.9098,34.3152,0.745021,0.138142,54.1352,0.197591,0.079006,0.967859,0.00126829,0.000228521,0.00331926,0.0273253,0.871731,0.112015,0.0135798,0.00230806,0.000365633,0.0250344,0.0376145,0.128114,0.378276,0.430961
cabinet_1,64,cabinet,36,0.170218,0.808788,0.628074,-0.019819,0.775265,1.76029,0.494495,0.825018,0.0779428,0.257309,89.5179,50.2573,0.746504,0.0988436,81.1385,0.261865,0.114107,0.911995,0.0035871,0.0015027,0.021159,0.0617562,0.923144,0.0327201,0.0335927,0.00824063,0.00230253,0.088514,0.0255217,0.0783102,0.286216,0.521438
washing_machine_0,65,washing_machine,37,0.362405,0.622058,0.251884,0.102878,0.724902,1.49042,0.520674,0.480195,0.0914929,0.422032,89.253,217.195,0.115232,0.518696,111.835,0.157222,0.21069,0.228967,0.00561276,0.0229682,0.492463,0.249989,0.103174,0.144837,0.365119,0.337679,0.0491915,0.902393,0.0492828,0.0159561,0.0126249,0.0197435
cabinet_2,66,cabinet,36,0.317122,0.680128,0.361631,0.218963,0.732978,1.1751,0.521375,0.0121742,0.0439065,0.419013,89.0625,36.5386,0.789803,0.0977126,57.378,0.189461,0.0675272,0.961263,0.000434436,0.000231699,0.0090942,0.0289769,0.972616,0.0131489,0.0125552,0.00167982,0,0.0244298,0.0233582,0.0803707,0.317993,0.553848
wall_0,67,wall,13,0.172815,0.826675,0.653606,0.218857,1.98065,1.09683,1.19778,-0.404092,0.0963237,1.4661,88.3835,129.319,0.0447618,0.824177,123.84,0.0893013,0.212312,0.515408,0.0256151,0.074935,0.259189,0.124853,0.0179282,0.0450623,0.0854756,0.191342,0.660192,0.96679,0.020736,0.00559251,0.00409657,0.00278475
wall_2,68,wall,13,0.211745,0.787383,0.575201,0.705935,2.28381,2.00583,1.28103,0.145007,0.417104,3.59364,89.9917,116.379,0.0637247,0.84061,123.936,0.107665,0.183612,0.608441,0.0282921,0.0442116,0.176364,0.142691,0.00162959,0.0324413,0.0997773,0.182342,0.68381,0.900006,0.0741776,0.0241605,0.0013949,0.000261267
wall_3,69,wall,13,0.11209,0.883884,0.769781,0.769212,1.50873,1.80371,1.12894,1.71565,0.419917,1.72556,89.3091,190.655,0.152022,0.42471,149.723,0.136921,0.17415,0.41943,0.00425301,0.00650602,0.112952,0.456859,0.104458,0.356763,0.389442,0.12988,0.0194578,0.834871,0.104502,0.0374699,0.0161124,0.00704418
floor_0,70,floor,14,0.0961819,0.899776,0.801573,-0.126342,0.0234737,0.515734,-0.0782933,-1.54608,2.52398,10.9171,2.86526,48.7992,0.590777,0.159939,88.7743,0.223783,0.0771364,0.911786,0.00132077,0.000451844,0.00802892,0.0784123,0.691703,0.302145,0.00615203,0,0,0.0353829,0.184596,0.306941,0.283688,0.189392
counter_0,71,counter,38,0.105684,0.892184,0.785434,0.739897,0.805607,1.4708,0.773155,0.306631,0.0929945,1.2586,0.699416,132.07,0.178054,0.513659,129.336,0.224254,0.25834,0.570764,0.0289356,0.023102,0.186655,0.190544,0.161989,0.16723,0.256299,0.27864,0.135843,0.778513,0.099404,0.0507905,0.0265683,0.0447244
counter_1,72,counter,38,0.0505023,0.948405,0.897356,0.764749,0.826803,1.32253,0.796873,1.43007,0.163497,1.70639,2.65115,177.66,0.155383,0.577433,139.017,0.219113,0.233302,0.419821,0.0133977,0.0202534,0.214445,0.332083,0.0964928,0.109312,0.281896,0.359952,0.152347,0.843738,0.0516247,0.0339154,0.0248955,0.0458262
bottle_2,73,bottle,12,0.0413356,0.860885,0.77066,0.804565,1.12663,1.71068,0.947771,0.625215,0.00790228,0.0537681,89.5707,106.896,0.367343,0.545512,19.5616,0.147077,0.150017,0.0522609,0.936249,0.0105634,0.000370645,0.000555967,0.00926612,0.138992,0.534285,0.262602,0.0548554,0.113973,0.546145,0.284285,0.0366938,0.0189029
chair_0,75,chair,39,0.28221,0.685455,0.387077,0.412614,0.994795,-0.947846,0.663681,1.1699,0.114598,0.303307,78.7483,62.4337,0.602996,0.0810062,79.3558,0.288934,0.0735813,0.862806,0.0424138,0.00566917,0.034183,0.054928,0.933944,0.0646286,0.00142779,0,0,0.103305,0.158443,0.223743,0.237433,0.277076
chair_1,76,chair,39,0.0772985,0.670697,0.467397,0.0200472,1.01964,0.355046,0.515013,2.58216,0.482156,0.815116,65.444,46.5291,0.587143,0.159418,78.8215,0.23654,0.103334,0.913712,0.00867406,0.00776807,0.0138751,0.0559703,0.681912,0.293492,0.0235223,0.00107377,0,0.0528832,0.157844,0.327031,0.273677,0.188564
door_0,77,door,23,0.369609,0.627424,0.256332,-0.00585496,2.06226,-0.575714,0.99623,2.00204,0.365864,2.40652,85.8392,107.301,0.59471,0.0974342,136.622,0.299465,0.118151,0.701813,0.0041675,0.00346223,0.0654078,0.225149,0.899855,0.0763647,0.0049875,0.0160457,0.00274684,0.125534,0.142846,0.216794,0.240979,0.273847
